"object_id","term_taxonomy_id","term_order"
"1652","64","0"
"1652","32","0"
"1952","23","0"
"1692","27","0"
"1692","62","0"
"1692","28","0"
"1692","33","0"
"1952","5","0"
"1952","7","0"
"1507","142","0"
"1965","136","0"
"1965","31","0"
"1965","83","0"
"1965","55","0"
"1980","36","0"
"1980","109","0"
"1980","5","0"
"2036","71","0"
"2056","91","0"
"2056","21","0"
"2056","5","0"
"2060","8","0"
"2060","56","0"
"2060","55","0"
"2073","35","0"
"2073","36","0"
"2073","53","0"
"2133","65","0"
"2133","107","0"
"2133","7","0"
"2133","33","0"
"2136","86","0"
"2136","11","0"
"2136","54","0"
"2136","5","0"
"2147","140","0"
"2147","80","0"
"2147","81","0"
"2147","44","0"
"2147","111","0"
"2156","31","0"
"2156","141","0"
"2156","101","0"
"1507","64","0"
"1507","31","0"
"1507","143","0"
"1596","31","0"
"1570","40","0"
"1570","41","0"
"1570","5","0"
"1573","45","0"
"1573","46","0"
"1573","5","0"
"1596","30","0"
"1596","83","0"
"1654","26","0"
"1654","29","0"
"1654","7","0"
"2203","65","0"
"1697","77","0"
"1697","31","0"
"1697","5","0"
"1704","58","0"
"1704","59","0"
"1704","5","0"
"1874","8","0"
"1874","9","0"
"1874","5","0"
"1969","136","0"
"1969","31","0"
"1969","83","0"
"1969","55","0"
"2059","8","0"
"2059","56","0"
"2059","55","0"
"2105","4","0"
"2105","78","0"
"2105","5","0"
"2111","65","0"
"2111","107","0"
"2111","7","0"
"2111","55","0"
"2125","144","0"
"2125","17","0"
"2125","5","0"
"2144","17","0"
"2144","100","0"
"2144","5","0"
"2150","18","0"
"2150","76","0"
"2150","5","0"
"2196","36","0"
"2196","97","0"
"2196","5","0"
"2203","106","0"
"2203","107","0"
"2203","7","0"
"2257","20","0"
"2257","5","0"
"2257","21","0"
"2278","26","0"
"2278","54","0"
"2278","55","0"
"2278","7","0"
"1635","31","0"
"2281","8","0"
"2281","56","0"
"2281","55","0"
"1509","37","0"
"1509","38","0"
"1509","5","0"
"1635","39","0"
"1635","32","0"
"2166","37","0"
"1733","31","0"
"1733","127","0"
"1733","5","0"
"1995","36","0"
"1995","97","0"
"1995","54","0"
"2092","36","0"
"2092","97","0"
"2092","5","0"
"2118","124","0"
"2118","17","0"
"2118","5","0"
"2166","39","0"
"2166","51","0"
"2172","65","0"
"2172","30","0"
"2172","107","0"
"2172","7","0"
"2267","130","0"
"2175","145","0"
"2175","68","0"
"2175","70","0"
"2175","5","0"
"2193","58","0"
"2193","59","0"
"2193","5","0"
"2206","47","0"
"2206","48","0"
"2206","5","0"
"2218","72","0"
"2218","132","0"
"2218","5","0"
"2248","110","0"
"2248","37","0"
"2248","85","0"
"2248","5","0"
"2253","31","0"
"2253","32","0"
"2253","33","0"
"2267","39","0"
"2267","131","0"
"2267","44","0"
"2320","26","0"
"2269","31","0"
"2269","119","0"
"2269","5","0"
"2286","108","0"
"2286","17","0"
"2286","5","0"
"2294","146","0"
"2294","36","0"
"2294","5","0"
"2306","136","0"
"2306","31","0"
"2306","83","0"
"2306","54","0"
"2306","55","0"
"2320","55","0"
"2320","7","0"
"2210","27","0"
"2120","17","0"
"2120","138","0"
"2120","5","0"
"2153","72","0"
"2153","73","0"
"2153","5","0"
"2200","68","0"
"2200","112","0"
"2200","70","0"
"2200","5","0"
"2210","39","0"
"2210","28","0"
"2224","142","0"
"2224","30","0"
"2224","31","0"
"2224","143","0"
"2227","31","0"
"2227","30","0"
"2227","83","0"
"2274","70","0"
"2236","90","0"
"2236","43","0"
"2236","44","0"
"2236","5","0"
"2244","49","0"
"2244","36","0"
"2244","5","0"
"2246","92","0"
"2246","72","0"
"2246","5","0"
"2271","43","0"
"2271","44","0"
"2271","57","0"
"2271","5","0"
"2274","30","0"
"2274","39","0"
"2274","98","0"
"2304","31","0"
"2300","137","0"
"2300","17","0"
"2300","54","0"
"2300","5","0"
"2304","30","0"
"2304","32","0"
"2101","6","0"
"2309","136","0"
"2309","31","0"
"2309","83","0"
"2309","55","0"
"2331","99","0"
"2331","17","0"
"2331","5","0"
"2347","35","0"
"2347","36","0"
"2347","5","0"
"2369","67","0"
"2369","61","0"
"2369","121","0"
"2391","8","0"
"2391","9","0"
"2391","55","0"
"2427","27","0"
"2427","28","0"
"2427","29","0"
"2430","87","0"
"2430","7","0"
"2430","5","0"
"1547","125","0"
"1547","126","0"
"1547","5","0"
"2101","5","0"
"2101","7","0"
"2232","31","0"
"2141","139","0"
"2141","11","0"
"2141","5","0"
"2232","30","0"
"2232","83","0"
"2399","26","0"
"2261","74","0"
"2261","7","0"
"2261","5","0"
"2327","14","0"
"2327","11","0"
"2327","5","0"
"2351","27","0"
"2351","28","0"
"2351","33","0"
"2371","124","0"
"2371","17","0"
"2371","5","0"
"2386","36","0"
"2386","105","0"
"2386","5","0"
"2399","5","0"
"2399","7","0"
"2402","26","0"
"2402","29","0"
"2402","7","0"
"2416","31","0"
"2416","39","0"
"2416","127","0"
"2637","130","0"
"2433","147","0"
"2433","31","0"
"2433","5","0"
"2438","13","0"
"2438","7","0"
"2438","5","0"
"2462","12","0"
"2462","7","0"
